tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
41447	Seriola dumerili	111224792	0	live	LOC111224792		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
41447	Seriola dumerili	111224034	0	live	LOC111224034		E3 ISG15--protein ligase HERC5-like	E3 ISG15--protein ligase HERC5-like		Un							
41447	Seriola dumerili	111222670	0	live	LOC111222670		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
41447	Seriola dumerili	111221105	0	live	LOC111221105		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
41447	Seriola dumerili	111221079	0	live	LOC111221079		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
7994	Astyanax mexicanus	111196323	0	live	LOC111196323		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like|tripartite motif-containing protein 16-like		Un							
7994	Astyanax mexicanus	111194854	0	live	LOC111194854		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		19	NC_035915.1	1880148	1882693	plus	3		
7994	Astyanax mexicanus	111193561	0	live	LOC111193561		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		12	NC_035908.1	24534305	24536990	minus	2		
7994	Astyanax mexicanus	111192621	0	live	LOC111192621		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		6	NC_035902.1	16416122	16421169	plus	5		
7994	Astyanax mexicanus	111190795	0	live	LOC111190795		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
7994	Astyanax mexicanus	111190621	0	live	LOC111190621		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
7994	Astyanax mexicanus	111190606	0	live	LOC111190606		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
7994	Astyanax mexicanus	111190403	0	live	LOC111190403		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
7994	Astyanax mexicanus	111188902	0	live	LOC111188902		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
7994	Astyanax mexicanus	111188299	0	live	LOC111188299		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
391180	Enhydra lutris kenyoni	111160466	0	live	LOC111160466		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
6565	Crassostrea virginica	111115782	0	live	LOC111115782		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		9	NC_035788.1	1965971	1974610	minus	2		
6565	Crassostrea virginica	111114052	0	live	LOC111114052		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		9	NC_035788.1	64246186	64247932	plus	2		
6565	Crassostrea virginica	111114049	0	live	LOC111114049		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		9	NC_035788.1	64218893	64220618	plus	2		
6565	Crassostrea virginica	111112972	0	live	LOC111112972		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		9	NC_035788.1	64032800	64034754	plus	1		
6565	Crassostrea virginica	111112325	0	live	LOC111112325		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		9	NC_035788.1	1161112	1168179	plus	3		
6565	Crassostrea virginica	111111829	0	live	LOC111111829		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		9	NC_035788.1	1923676	1925981	minus	1		
6565	Crassostrea virginica	111106821	0	live	LOC111106821		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		8	NC_035787.1	44687242	44689588	minus	1		
80966	Acanthochromis polyacanthus	110971582	0	live	LOC110971582		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
80966	Acanthochromis polyacanthus	110969730	0	live	LOC110969730		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
80966	Acanthochromis polyacanthus	110966301	0	live	LOC110966301		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
80966	Acanthochromis polyacanthus	110964999	0	live	LOC110964999		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
80966	Acanthochromis polyacanthus	110964906	0	live	LOC110964906		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like|tripartite motif-containing protein 16-like		Un							
80966	Acanthochromis polyacanthus	110961634	0	live	LOC110961634		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
80966	Acanthochromis polyacanthus	110959226	0	live	LOC110959226		E3 ubiquitin/ISG15 ligase TRIM25-like	LOW QUALITY PROTEIN: E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
80966	Acanthochromis polyacanthus	110959052	0	live	LOC110959052		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
80966	Acanthochromis polyacanthus	110958837	0	live	LOC110958837		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
80966	Acanthochromis polyacanthus	110958396	0	live	LOC110958396		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
80966	Acanthochromis polyacanthus	110957166	0	live	LOC110957166		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
80966	Acanthochromis polyacanthus	110956429	0	live	LOC110956429		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
80966	Acanthochromis polyacanthus	110953258	0	live	LOC110953258		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
80966	Acanthochromis polyacanthus	110952249	0	live	LOC110952249		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
80966	Acanthochromis polyacanthus	110951185	0	live	LOC110951185		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
80966	Acanthochromis polyacanthus	110950476	0	live	LOC110950476		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
80966	Acanthochromis polyacanthus	110947544	0	live	LOC110947544		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
80966	Acanthochromis polyacanthus	110947052	0	live	LOC110947052		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
80966	Acanthochromis polyacanthus	110946897	0	live	LOC110946897		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
80966	Acanthochromis polyacanthus	110946436	0	live	LOC110946436		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
29088	Neomonachus schauinslandi	110572446	0	live	LOC110572446		E3 ubiquitin/ISG15 ligase TRIM25-like	LOW QUALITY PROTEIN: E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
10047	Meriones unguiculatus	110564239	0	live	LOC110564239		E3 ISG15--protein ligase Herc6-like	E3 ISG15--protein ligase Herc6-like		Un							
10047	Meriones unguiculatus	110547707	0	live	LOC110547707		E3 ubiquitin/ISG15 ligase TRIM25-like	LOW QUALITY PROTEIN: E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
10047	Meriones unguiculatus	110539515	0	live	LOC110539515		E3 ISG15--protein ligase Herc6-like	E3 ISG15--protein ligase Herc6-like		Un							
8022	Oncorhynchus mykiss	110533170	0	live	LOC110533170		E3 ISG15--protein ligase HERC5-like	E3 ISG15--protein ligase HERC5-like		10	NC_035086.1	55045416	55049464	plus	7		
8022	Oncorhynchus mykiss	110532399	0	live	LOC110532399		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		9	NC_035085.1	47694855	47697548	minus	2		
8022	Oncorhynchus mykiss	110531627	0	live	LOC110531627		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		9	NC_035085.1	10509621	10515984	minus	2		
8022	Oncorhynchus mykiss	110528742	0	live	LOC110528742		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		7	NC_035083.1	3855471	3859981	minus	3		
8022	Oncorhynchus mykiss	110521268	0	live	LOC110521268		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		4	NC_035080.1	6243569	6244354	plus	1		
8022	Oncorhynchus mykiss	110519396	0	live	LOC110519396		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
8022	Oncorhynchus mykiss	110519395	0	live	LOC110519395		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
8022	Oncorhynchus mykiss	110518405	0	live	LOC110518405	finTRIM	E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like|fish virus induced TRIM protein		Un							
8022	Oncorhynchus mykiss	110518269	0	live	LOC110518269		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
8022	Oncorhynchus mykiss	110517700	0	live	LOC110517700	finTRIM	E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like|fish virus induced TRIM protein		Un							
8022	Oncorhynchus mykiss	110516617	0	live	LOC110516617		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
8022	Oncorhynchus mykiss	110516270	0	live	LOC110516270	finTRIM	E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like|fish virus induced TRIM protein		Un							
8022	Oncorhynchus mykiss	110516254	0	live	LOC110516254	finTRIM	E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like|fish virus induced TRIM protein		Un							
8022	Oncorhynchus mykiss	110516114	0	live	LOC110516114		E3 ISG15--protein ligase HERC5-like	E3 ISG15--protein ligase HERC5-like		Un							
8022	Oncorhynchus mykiss	110515565	0	live	LOC110515565	finTRIM	E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like|fish virus induced TRIM protein		Un							
8022	Oncorhynchus mykiss	110515277	0	live	LOC110515277	finTRIM	E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like|fish virus induced TRIM protein		Un							
8022	Oncorhynchus mykiss	110514345	0	live	LOC110514345		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
8022	Oncorhynchus mykiss	110514020	0	live	LOC110514020		E3 ISG15--protein ligase HERC5-like	E3 ISG15--protein ligase HERC5-like		Un							
8022	Oncorhynchus mykiss	110514019	0	live	LOC110514019		E3 ISG15--protein ligase HERC5-like	E3 ISG15--protein ligase HERC5-like		Un							
8022	Oncorhynchus mykiss	110512270	0	live	LOC110512270		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
8022	Oncorhynchus mykiss	110511244	0	live	LOC110511244		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
8022	Oncorhynchus mykiss	110508485	0	live	LOC110508485		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		28	NC_035104.1	9827306	9832768	plus	6		
8022	Oncorhynchus mykiss	110503476	0	live	LOC110503476		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		24	NC_035100.1	31142310	31142923	minus	1		
8022	Oncorhynchus mykiss	110500621	0	live	LOC110500621		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		2	NC_035078.1	81422728	81424289	plus	3		
8022	Oncorhynchus mykiss	110498447	0	live	LOC110498447		E3 ISG15--protein ligase HERC5-like	E3 ISG15--protein ligase HERC5-like		19	NC_035095.1	6537484	6539862	plus	7		
8022	Oncorhynchus mykiss	110497033	0	live	LOC110497033		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		18	NC_035094.1	7629186	7633331	minus	2		
8022	Oncorhynchus mykiss	110496021	0	live	LOC110496021		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		2	NC_035078.1	58616210	58624894	minus	4		
8022	Oncorhynchus mykiss	110496015	0	live	LOC110496015		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		2	NC_035078.1	58625051	58629064	minus	4		
8022	Oncorhynchus mykiss	110492209	0	live	LOC110492209		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		16	NC_035092.1	46896201	46898863	plus	1		
8022	Oncorhynchus mykiss	110490528	0	live	LOC110490528		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		15	NC_035091.1	56628930	56632844	minus	7		
8022	Oncorhynchus mykiss	110489722	0	live	LOC110489722		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		15	NC_035091.1	14331475	14336987	minus	6		
8022	Oncorhynchus mykiss	110489721	0	live	LOC110489721		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		15	NC_035091.1	14323165	14326807	minus	6		
299123	Lonchura striata domestica	110480917	0	live	LOC110480917		E3 ISG15--protein ligase HERC5-like	E3 ISG15--protein ligase HERC5-like		Un							
299123	Lonchura striata domestica	110480904	0	live	LOC110480904		E3 ISG15--protein ligase HERC5-like	E3 ISG15--protein ligase HERC5-like		Un							
299123	Lonchura striata domestica	110479709	0	live	LOC110479709		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
6573	Mizuhopecten yessoensis	110457048	0	live	LOC110457048		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
6573	Mizuhopecten yessoensis	110447999	0	live	LOC110447999		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
6573	Mizuhopecten yessoensis	110441534	0	live	LOC110441534		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
8078	Fundulus heteroclitus	110367564	0	live	LOC110367564		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
8078	Fundulus heteroclitus	110366411	0	live	LOC110366411		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
8078	Fundulus heteroclitus	110366382	0	live	LOC110366382		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
10093	Mus pahari	110332642	0	live	LOC110332642		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		14	NC_034603.1	82605940	82612809	plus	8		
38626	Phascolarctos cinereus	110219242	0	live	LOC110219242		E3 ubiquitin/ISG15 ligase TRIM25-like	LOW QUALITY PROTEIN: E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
38626	Phascolarctos cinereus	110212109	0	live	LOC110212109		E3 ubiquitin/ISG15 ligase TRIM25-like	LOW QUALITY PROTEIN: E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
150288	Boleophthalmus pectinirostris	110175844	0	live	LOC110175844		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
150288	Boleophthalmus pectinirostris	110172471	0	live	LOC110172471		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
150288	Boleophthalmus pectinirostris	110172146	0	live	LOC110172146		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
150288	Boleophthalmus pectinirostris	110170855	0	live	LOC110170855		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
150288	Boleophthalmus pectinirostris	110170431	0	live	LOC110170431		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
150288	Boleophthalmus pectinirostris	110170377	0	live	LOC110170377		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
150288	Boleophthalmus pectinirostris	110168073	0	live	LOC110168073		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
150288	Boleophthalmus pectinirostris	110166442	0	live	LOC110166442		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
150288	Boleophthalmus pectinirostris	110165439	0	live	LOC110165439		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
150288	Boleophthalmus pectinirostris	110164137	0	live	LOC110164137		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
150288	Boleophthalmus pectinirostris	110164097	0	live	LOC110164097		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
150288	Boleophthalmus pectinirostris	110158805	0	live	LOC110158805		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
150288	Boleophthalmus pectinirostris	110158803	0	live	LOC110158803		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
150288	Boleophthalmus pectinirostris	110157976	0	live	LOC110157976		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
150288	Boleophthalmus pectinirostris	110156318	0	live	LOC110156318		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
150288	Boleophthalmus pectinirostris	110155095	0	live	LOC110155095		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
150288	Boleophthalmus pectinirostris	110155082	0	live	LOC110155082		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
150288	Boleophthalmus pectinirostris	110153715	0	live	LOC110153715		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
150288	Boleophthalmus pectinirostris	110153374	0	live	LOC110153374		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
150288	Boleophthalmus pectinirostris	110153373	0	live	LOC110153373		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
150288	Boleophthalmus pectinirostris	110153372	0	live	LOC110153372		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
142615	Dendrobium officinale	110107393	0	live	LOC110107393		E3 ISG15--protein ligase HERC5-like	E3 ISG15--protein ligase HERC5-like		Un							
142615	Dendrobium officinale	110104917	0	live	LOC110104917		E3 ISG15--protein ligase Herc6	E3 ISG15--protein ligase Herc6		Un							
103695	Pogona vitticeps	110085801	0	live	LOC110085801		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin-protein ligase Midline-1-like|E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
103695	Pogona vitticeps	110080516	0	live	LOC110080516		E3 ISG15--protein ligase HERC5-like	E3 ISG15--protein ligase HERC5-like		Un							
8090	Oryzias latipes	110016942	0	live	LOC110016942		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		17	NC_019875.2	9801866	9803554	minus	1		
8090	Oryzias latipes	110013573	0	live	LOC110013573		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		2	NC_019860.2	566684	567316	plus	1		
56723	Labrus bergylta	110004261	0	live	LOC110004261		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
56723	Labrus bergylta	110004099	0	live	LOC110004099		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
56723	Labrus bergylta	110002969	0	live	LOC110002969		E3 ISG15--protein ligase HERC5-like	LOW QUALITY PROTEIN: E3 ISG15--protein ligase HERC5-like		Un							
56723	Labrus bergylta	110001932	0	live	LOC110001932		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
56723	Labrus bergylta	110001372	0	live	LOC110001372		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
56723	Labrus bergylta	109994520	0	live	LOC109994520		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
56723	Labrus bergylta	109994149	0	live	LOC109994149		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
56723	Labrus bergylta	109989211	0	live	LOC109989211		E3 ubiquitin/ISG15 ligase TRIM25-like	LOW QUALITY PROTEIN: E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
56723	Labrus bergylta	109987852	0	live	LOC109987852		E3 ISG15--protein ligase HERC5-like	E3 ISG15--protein ligase HERC5-like		Un							
56723	Labrus bergylta	109987217	0	live	LOC109987217		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
56723	Labrus bergylta	109985283	0	live	LOC109985283		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
56723	Labrus bergylta	109984985	0	live	LOC109984985		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
56723	Labrus bergylta	109984983	0	live	LOC109984983		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
56723	Labrus bergylta	109984130	0	live	LOC109984130		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
56723	Labrus bergylta	109975312	0	live	LOC109975312		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
43700	Monopterus albus	109974932	0	live	LOC109974932		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
43700	Monopterus albus	109973663	0	live	LOC109973663		E3 ubiquitin/ISG15 ligase TRIM25-like	LOW QUALITY PROTEIN: E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
43700	Monopterus albus	109971807	0	live	LOC109971807		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
43700	Monopterus albus	109956820	0	live	LOC109956820		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
43700	Monopterus albus	109956448	0	live	LOC109956448		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
43700	Monopterus albus	109956445	0	live	LOC109956445		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
43700	Monopterus albus	109955616	0	live	LOC109955616		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
43700	Monopterus albus	109953708	0	live	LOC109953708		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
43700	Monopterus albus	109953422	0	live	LOC109953422		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
259920	Rhincodon typus	109938793	0	live	LOC109938793		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
259920	Rhincodon typus	109935643	0	live	LOC109935643		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
259920	Rhincodon typus	109935216	0	live	LOC109935216		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
259920	Rhincodon typus	109925972	0	live	LOC109925972		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
259920	Rhincodon typus	109922468	0	live	LOC109922468		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
259920	Rhincodon typus	109917242	0	live	LOC109917242		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
259920	Rhincodon typus	109914844	0	live	LOC109914844		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
259920	Rhincodon typus	109913677	0	live	LOC109913677		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
259920	Rhincodon typus	109911677	0	live	LOC109911677		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
259920	Rhincodon typus	109911292	0	live	LOC109911292		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		Un							
8019	Oncorhynchus kisutch	109908689	0	live	LOC109908689		E3 ubiquitin/ISG15 ligase TRIM25-like	E3 ubiquitin/ISG15 ligase TRIM25-like		LG17	NC_034190.1	58113177	58115661	minus	2		
